"Country Code","Short Name","Table Name","Long Name","2-alpha code","Currency Unit","Special Notes","Region","Income Group","WB-2 code","National accounts base year","National accounts reference year","SNA price valuation","Lending category","Other groups","System of National Accounts","Alternative conversion factor","PPP survey year","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Latest population census","Latest household survey","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data","Latest water withdrawal data",
"RWA","Rwanda","Rwanda","Republic of Rwanda","RW","Rwandan franc","Based on official government statistics, national accounts data are revised for 2006 onward; the new base year is 2011.","Sub-Saharan Africa","Low income","RW","2011","","Value added at producer prices (VAP)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","1994","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2012","Malaria Indicator Survey (MIS), 2013","Integrated household survey (IHS), 2011","","2008","","2012","2000",
"SAS","South Asia","South Asia","South Asia","8S","","South Asia regional aggregate. There are no economies in South Asia classified as high income.","","","8S","","","","","","","","","","","","","","","","","","","","","",
"SAU","Saudi Arabia","Saudi Arabia","Kingdom of Saudi Arabia","SA","Saudi Arabian riyal","","Middle East & North Africa","High income: nonOECD","SA","1999","","Value added at producer prices (VAP)","","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","","Special trade system","","General Data Dissemination System (GDDS)","2010","Demographic survey, 2007","","","2010","2006","2011","2006",
"SDN","Sudan","Sudan","Republic of the Sudan","SD","Sudanese pound","Total population data are reported separately for Sudan and South Sudan; see specific notes for other demographic-related series. National accounts data exclude South Sudan after July 9, 2011. Other data reported for Sudan include South Sudan unless otherwise noted.","Sub-Saharan Africa","Lower middle income","SD","1981/82. Reporting period switch from fiscal year to calendar year from 1996. Pre-1996 data converted to calendar year.","1996","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2008","Sudan Household Health Survey (SHHS), 2010","Expenditure survey/budget survey (ES/BS), 2009","","2013/ 2014","2001","2011","2005. Includes South Sudan.",
"SEN","Senegal","Senegal","Republic of Senegal","SN","CFA franc","","Sub-Saharan Africa","Lower middle income","SN","1999","1987","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2013","Continuous Demographic and Health Survey (DHS), 2013/14; HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013/14","Priority survey (PS), 2010/11","","2013","2010","2012","2002",
"SGP","Singapore","Singapore","Republic of Singapore","SG","Singapore dollar","Fiscal year end: March 31; reporting period for national accounts data: CY. Country reports using a blend of SNA 1993 and SNA 2008. April 2012 database update: National accounts time series were replaced with official government statistics.","East Asia & Pacific","High income: nonOECD","SG","2010","","Value added at basic prices (VAB)","","","Country uses the 2008 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","National Health Survey (NHS), 2010","","Yes","","2010","2012","1975",
"SLB","Solomon Islands","Solomon Islands","Solomon Islands","SB","Solomon Islands dollar","National accounts data have been revised from 2007 to 2013 based on IMF reports.","East Asia & Pacific","Lower middle income","SB","2004","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","","General Data Dissemination System (GDDS)","2009","","Integrated household survey (IHS), 2005/06","","2012/13","","2012","",
"SLE","Sierra Leone","Sierra Leone","Republic of Sierra Leone","SL","Sierra Leonean leone","Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 1990 onward; the base year changed to 2006.","Sub-Saharan Africa","Low income","SL","2006","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2004","Demographic and Health Survey (DHS), 2013; Malaria Indicator Survey (MIS), 2013","Integrated household survey (IHS), 2011","","","","2002","2005",
"SLV","El Salvador","El Salvador","Republic of El Salvador","SV","U.S. dollar","","Latin America & Caribbean","Lower middle income","SV","1990","","Value added at basic prices (VAB)","IBRD","","Country uses the 1968 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2007","Reproductive Health Survey (RHS), 2008","Integrated household survey (IHS), 2012","Yes","2007/2008","","2012","2007",
"SMR","San Marino","San Marino","Republic of San Marino","SM","Euro","","Europe & Central Asia","High income: nonOECD","SM","1990","2000","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","","","","","Consolidated central government","General Data Dissemination System (GDDS)","2010","","","Yes","","","","",
"SOM","Somalia","Somalia","Somali Democratic Republic","SO","Somali shilling","","Sub-Saharan Africa","Low income","SO","1985","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology.","1977–90","","","Estimate","","","","1987","Multiple Indicator Cluster Survey (MICS), 2006","","","","","","2003",
"SRB","Serbia","Serbia","Republic of Serbia","RS","New Serbian dinar","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised, and GDP is now calculated using chain linked volumes in 2005 prices.","Europe & Central Asia","Upper middle income","YF","Original chained constant price data are rescaled.","2002","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","2011","Multiple Indicator Cluster Survey (MICS), 2010","Integrated household survey (IHS), 2010","Yes","2012","2010","","2009",
"SSA","Sub-Saharan Africa (developing only)","Sub-Saharan Africa","Sub-Saharan Africa (developing only)","ZF","","Sub-Saharan Africa regional aggregate (does not include high-income economies).","","","ZF","","","","","","","","","","","","","","","","","","","","","",
"SSD","South Sudan","South Sudan","Republic of South Sudan","SS","South Sudanese Pound","South Sudan declared its independence on July 9, 2011. Data are shown separately for South Sudan where available. However, data reported for Sudan include South Sudan unless otherwise noted. Though limited data are available in the WDI database for South Sudan, additional data are available from South Sudan's National Bureau of Statistics (http://ssnbs.org/).","Sub-Saharan Africa","Lower middle income","SS","2009","","","IDA","","Country uses the 1993 System of National Accounts methodology.","","","","","","","","2008","","Expenditure survey/budget survey (ES/BS), 2009","","","","","",
"SSF","Sub-Saharan Africa (all income levels)","Sub-Saharan Africa (all income levels)","Sub-Saharan Africa (all income levels)","ZG","","Sub-Saharan Africa regional aggregate (including high-income economies).","","","ZG","","","","","","","","","","","","","","","","","","","","","",
"STP","São Tomé and Principe","São Tomé and Principe","Democratic Republic of São Tomé and Principe","ST","São Tomé and Principe dobra","Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2000.","Sub-Saharan Africa","Lower middle income","ST","2000","","Value added at producer prices (VAP)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2012","Demographic and Health Survey (DHS), 2008/09","Priority survey (PS), 2009/10","","2011/12","","2012","1993",
"SUR","Suriname","Suriname","Republic of Suriname","SR","Suriname dollar","","Latin America & Caribbean","Upper middle income","SR","2007","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2012","Multiple Indicator Cluster Survey (MICS), 2010","Expenditure survey/budget survey (ES/BS), 1999","Yes","2008","","2011","2000",
"SVK","Slovak Republic","Slovak Republic","Slovak Republic","SK","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: OECD","SK","2005","","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","World Health Survey (WHS), 2003","Income survey (IS), 2009","Yes","2010","2009","2012","2007",
"SVN","Slovenia","Slovenia","Republic of Slovenia","SI","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: OECD","SI","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011. Population figures compiled from administrative registers.","World Health Survey (WHS), 2003","Expenditure survey/budget survey (ES/BS), 2004","Yes","2010","2010","2012","2009",
"SWE","Sweden","Sweden","Kingdom of Sweden","SE","Swedish krona","Fiscal year end: June 30; reporting period for national accounts data: CY.","Europe & Central Asia","High income: OECD","SE","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Income survey (IS), 2000","Yes","2010","2009","2012","2007",
"SWZ","Swaziland","Swaziland","Kingdom of Swaziland","SZ","Swaziland lilangeni","Fiscal year end: March 31; reporting period for national accounts data: CY. In 2011, the Central Statistical Office revised national accounts data for 1990 onward.","Sub-Saharan Africa","Lower middle income","SZ","2000","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2007","Multiple Indicator Cluster Survey (MICS), 2010","Expenditure survey/budget survey (ES/BS), 2009/10","","2007. Population and Housing Census.","","2007","2000",
"SXM","Sint Maarten (Dutch part)","Sint Maarten (Dutch part)","Sint Maarten (Dutch part)","SX","Netherlands Antilles guilder","","Latin America & Caribbean","High income: nonOECD","SX","","","","","","Country uses the 1993 System of National Accounts methodology.","","","","","","","","2011","","","Yes","","","","",
"SYC","Seychelles","Seychelles","Republic of Seychelles","SC","Seychelles rupee","April 2013 database update: Based on official government statistics, national accounts data were revised for 1976 onward; the base year changed to 2006.","Sub-Saharan Africa","Upper middle income","SC","2006","","Value added at producer prices (VAP)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2010","","Budget survey (BS), 2006/07","Yes","2011","","2008","2005",
"SYR","Syrian Arab Republic","Syrian Arab Republic","Syrian Arab Republic","SY","Syrian pound","April 2013 database update: Based on data from the Central Bureau of Statistics, national accounts data were revised for 2003 onward.","Middle East & North Africa","Lower middle income","SY","2000","","Value added at basic prices (VAB)","IBRD","","Country uses the 1968 System of National Accounts methodology.","1970–2010","2005","IMF Balance of Payments Manual, 6th edition.","Estimate","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2004","Multiple Indicator Cluster Survey (MICS), 2006","Expenditure survey/budget survey (ES/BS), 2004","","2014","","2010","2005",
"TCA","Turks and Caicos Islands","Turks and Caicos Islands","Turks and Caicos Islands","TC","U.S. dollar","","Latin America & Caribbean","High income: nonOECD","TC","","","","","","Country uses the 1993 System of National Accounts methodology.","","","","","General trade system","","","2012","","","Yes","","","2012","",
"TCD","Chad","Chad","Republic of Chad","TD","CFA franc","Based on IMF data, national accounts data have been revised for 2005 onward; the new base year is 2005.","Sub-Saharan Africa","Low income","TD","2005","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Preliminary","Special trade system","","General Data Dissemination System (GDDS)","2009","Multiple Indicator Cluster Survey (MICS), 2010","Priority survey (PS), 2002/03","","2010/ 2011","","1995","2005",
"TGO","Togo","Togo","Republic of Togo","TG","CFA franc","April 2013 database update: Based on IMF data, national accounts data have been revised for 2000; the new base year is 2000.","Sub-Saharan Africa","Low income","TG","2000","","Value added at producer prices (VAP)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2010","Demographic and Health Survey (DHS), 2013","Core Welfare Indicator Questionnaire Survey (CWIQ), 2011","","2011/2012","","2012","2002",
"THA","Thailand","Thailand","Kingdom of Thailand","TH","Thai baht","Fiscal year end: September 30; reporting period for national accounts data: CY.","East Asia & Pacific","Upper middle income","TH","1988","","Value added at producer prices (VAP)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 2011","","2013","2006","2012","2007",
"TJK","Tajikistan","Tajikistan","Republic of Tajikistan","TJ","Tajik somoni","","Europe & Central Asia","Low income","TJ","Original chained constant price data are rescaled.","2000","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","1990–95","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2010","Demographic and Health Survey (DHS), 2012","Living Standards Measurement Study Survey (LSMS), 2009","","2013","","2000","2006",
"TKM","Turkmenistan","Turkmenistan","Turkmenistan","TM","New Turkmen manat","On January 1, 2009, the Turkmen manat was redenominated (1 new manat = 5,000 old manats).","Europe & Central Asia","Upper middle income","TM","2005","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1987–95, 1997–2007","","IMF Balance of Payments Manual, 6th edition.","Estimate","General trade system","","","2012","Multiple Indicator Cluster Survey (MICS), 2011","Living Standards Measurement Study Survey (LSMS), 1998","Yes","","","2000","2004",
"TLS","Timor-Leste","Timor-Leste","Democratic Republic of Timor-Leste","TL","U.S. dollar","Based on official government statistics, national account data have been revised, and value added is measured at basic prices; the new base year is 2010.","East Asia & Pacific","Lower middle income","TP","2010","","Value added at basic prices (VAB)","Blend","","Country uses the 2008 System of National Accounts methodology.","","","","","Special trade system","","General Data Dissemination System (GDDS)","2010","Demographic and Health Survey (DHS), 2009/10","Living Standards Measurement Study Survey (LSMS), 2007","","2010. Population and Housing Census.","","2005","2004",
"TON","Tonga","Tonga","Kingdom of Tonga","TO","Tongan pa'anga","Fiscal year ends on June 30; reporting period for national accounts data: FY. April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised; the base year changed to 2010/11.","East Asia & Pacific","Upper middle income","TO","2010/11","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","General Data Dissemination System (GDDS)","2006","","2013 national accounts estimates are based on IMF reports.","","","","2012","",
"TTO","Trinidad and Tobago","Trinidad and Tobago","Republic of Trinidad and Tobago","TT","Trinidad and Tobago dollar","","Latin America & Caribbean","High income: nonOECD","TT","2000","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","2011","Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 1992","Yes","","2006","2010","2000",
"TUN","Tunisia","Tunisia","Republic of Tunisia","TN","Tunisian dinar","National accounts data from 2005 onward have been revised based on data published by the Tunisian authorities. April 2012 database update: Based on data from the Central Bank and its Statistical Bulletin, national accounts data were revised for 1997 onward.","Middle East & North Africa","Upper middle income","TN","2005","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2004","Multiple Indicator Cluster Survey (MICS), 2011/12","Integrated household survey (IHS), 2010","","2014/ 2015","2006","2011","2001",
"TUR","Turkey","Turkey","Republic of Turkey","TR","New Turkish lira","","Europe & Central Asia","Upper middle income","TR","1998","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","Demographic and Health Survey (DHS), 2003; World Health Survey (WHS), 2003","Labor force survey (LFS), 2009","","","2009","2012","2003",
"TUV","Tuvalu","Tuvalu","Tuvalu","TV","Australian dollar","Based on data from the IMF, World Bank and government official statistics, national accounts data have been revised from 2006 onward. Value added is measured at producer prices up to 1999 and at basic prices from 2000 onward.","East Asia & Pacific","Upper middle income","TV","2005","","Value added at basic prices (VAB)","IDA","","Country uses the 1968 System of National Accounts methodology.","","","","","General trade system","","General Data Dissemination System (GDDS)","2012","","2013 national accounts estimates are based on IMF reports.","","","","2008","",
"TZA","Tanzania","Tanzania","United Republic of Tanzania","TZ","Tanzanian shilling","","Sub-Saharan Africa","Low income","TZ","Original chained constant price data are rescaled.","2001","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2012","HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013/14","Expenditure survey/budget survey (ES/BS), 2011/12","","2007/08","2007","2012","2002",
"UGA","Uganda","Uganda","Republic of Uganda","UG","Ugandan shilling","Fiscal year end: June 30; reporting period for national accounts data: FY. In 2011, the Bureau of Statistics revised national accounts series for 1998 onward; the base year for constant price series changed to 2001/02.","Sub-Saharan Africa","Low income","UG","2001/02","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2002","HIV/AIDS Indicator Survey (AIS), 2011; Demographic and Health Survey (DHS), 2011","Priority survey (PS), 2009/10","","2008/ 2009","2000","2012","2002",
"UKR","Ukraine","Ukraine","Ukraine","UA","Ukrainian hryvnia","","Europe & Central Asia","Lower middle income","UA","Original chained constant price data are rescaled.","2003","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1987–95","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2001","Multiple Indicator Cluster Survey (MICS), 2012","Expenditure survey/budget survey (ES/BS), 2009","Yes","2012 /2013","","2012","2005",
"UMC","Upper middle income","Upper middle income","Upper middle income","XT","","Upper middle income group aggregate. Upper-middle-income economies are those in which 2013 GNI per capita was between $4,126 and $12,745.","","","XT","","","","","","","","","","","","","","","","","","","","","",
"URY","Uruguay","Uruguay","Oriental Republic of Uruguay","UY","Uruguayan peso","In 2011, the Central Bank revised national accounts data for 2006 onward.","Latin America & Caribbean","High income: nonOECD","UY","2005","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 2012","Yes","2011","2008","2012","2000",
"USA","United States","United States","United States of America","US","U.S. dollar","Fiscal year end: September 30; reporting period for national accounts data: CY.","North America","High income: OECD","US","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","","","Country uses the 2008 System of National Accounts methodology.","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","","Labor force survey (LFS), 2000","Yes","2012","2008","2012","2005",
"UZB","Uzbekistan","Uzbekistan","Republic of Uzbekistan","UZ","Uzbek sum","","Europe & Central Asia","Lower middle income","UZ","Original chained constant price data are rescaled.","1997","Value added at basic prices (VAB)","Blend","","Country uses the 1993 System of National Accounts methodology.","1990–95","","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","","1989","Multiple Indicator Cluster Survey (MICS), 2006","Expenditure survey/budget survey (ES/BS), 2011","Yes","","","","2005",
"VCT","St. Vincent and the Grenadines","St. Vincent and the Grenadines","St. Vincent and the Grenadines","VC","East Caribbean dollar","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.","Latin America & Caribbean","Upper middle income","VC","2006","","Value added at basic prices (VAB)","Blend","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2011","","","Yes","","","2012","1995",
"VEN","Venezuela","Venezuela, RB","República Bolivariana de Venezuela","VE","Venezuelan bolivar fuerte","","Latin America & Caribbean","Upper middle income","VE","1997","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2011","Multiple Indicator Cluster Survey (MICS), 2000","Integrated household survey (IHS), 2012","Yes","2007","","2011","2000",
"VIR","Virgin Islands","Virgin Islands (U.S.)","Virgin Islands of the United States","VI","U.S. dollar","","Latin America & Caribbean","High income: nonOECD","VI","1982","","","","","Country uses the 1968 System of National Accounts methodology.","","","","","General trade system","","","2010","","","Yes","2007","","","",
"VNM","Vietnam","Vietnam","Socialist Republic of Vietnam","VN","Vietnamese dong","Based on data from the Vietnam Statistics Office, national accounts data have been revised from 2000 onward; the new base year is 2010.","East Asia & Pacific","Lower middle income","VN","2010","","Value added at producer prices (VAP)","Blend","","Country uses the 1993 System of National Accounts methodology.","1991","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","General Data Dissemination System (GDDS)","2009","Multiple Indicator Cluster Survey (MICS), 2010/11","Integrated household survey (IHS), 2010","Yes","2011/ 2012","2010","2011","2005",
"VUT","Vanuatu","Vanuatu","Republic of Vanuatu","VU","Vanuatu vatu","Based on official government statistics, value added is measured at producer prices through 1997 and at basic prices from 1998 onward.","East Asia & Pacific","Lower middle income","VU","2006","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Estimate","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2009","Multiple Indicator Cluster Survey (MICS), 2007","2013 national accounts estimates are based on IMF reports.","","2007","","2011","",
"WLD","World","World","World","1W","","World aggregate.","","","1W","","","","","","","","","","","","","","","","","","","","","",
"WSM","Samoa","Samoa","Samoa","WS","Samoan tala","Fiscal year ends on June 30; reporting period for national accounts data: FY. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa.","East Asia & Pacific","Lower middle income","WS","2002","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2011","Demographic and Health Survey (DHS), 2009","","","2009","","2012","",
"XKX","Kosovo","Kosovo","Republic of Kosovo","","Euro","Kosovo became a World Bank member on June 29, 2009. Since 1999, Kosovo has been a territory under international administration pursuant to UN Security Council Resolution 1244 (1999).","Europe & Central Asia","Lower middle income","KV","2008","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","","","","Actual","","","General Data Dissemination System (GDDS)","2011","","Integrated household survey (IHS), 2011","","","","","",
"YEM","Yemen","Yemen, Rep.","Republic of Yemen","YE","Yemeni rial","Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward.","Middle East & North Africa","Lower middle income","RY","2007","","Value added at producer prices (VAP)","IDA","","Country uses the 1993 System of National Accounts methodology.","1990–96","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2004","Demographic and Health Survey (DHS), 2013","Expenditure survey/budget survey (ES/BS), 2005","","","2006","2012","2005",
"ZAF","South Africa","South Africa","Republic of South Africa","ZA","South African rand","Fiscal year end: March 31; reporting period for national accounts data: CY.","Sub-Saharan Africa","Upper middle income","ZA","2005","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Preliminary","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","Demographic and Health Survey (DHS), 2003; World Health Survey (WHS), 2003","Expenditure survey/budget survey (ES/BS), 2010","","2007","2010","2012","2000",
"ZMB","Zambia","Zambia","Republic of Zambia","ZM","New Zambian kwacha","National accounts data have rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha.","Sub-Saharan Africa","Lower middle income","ZM","1994","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology.","1990–92","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2010","Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2010","","2010. Population and Housing Census.","","2011","2002",
"ZWE","Zimbabwe","Zimbabwe","Republic of Zimbabwe","ZW","U.S. dollar","Fiscal year end: June 30; reporting period for national accounts data: CY. As of January 2009, multiple hard currencies, such as rand, pound sterling, euro and U.S. dollar are in use. Data are reported in U.S. dollars, the most-used currency.","Sub-Saharan Africa","Low income","ZW","2009","","Value added at basic prices (VAB)","Blend","","Country uses the 1993 System of National Accounts methodology.","1991, 1998","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2012","Demographic and Health Survey (DHS), 2010/11","Integrated household survey (IHS), 2011/12","","","","2012","2002",
