"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"UIS.REPR.1","Primary","Repetition rate in primary education (all grades), both sexes (%)","","Number of repeaters in primary education in a given school year, expressed as a percentage of enrolment in primary education in the previous school year. Divide the number of repeaters in primary education in school year t+1 by the number of pupils from the same cohort enrolled in primary education in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.F","Primary","Repetition rate in primary education (all grades), female (%)","","Number of female repeaters in primary education in a given school year, expressed as a percentage of female enrolment in primary education in the previous school year. Divide the number of female repeaters in primary education in school year t+1 by the number of female pupils from the same cohort enrolled in primary education in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G1","Primary","Repetition rate in Grade 1 of primary education, both sexes (%)","","Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G1.F","Primary","Repetition rate in Grade 1 of primary education, female (%)","","Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G1.M","Primary","Repetition rate in Grade 1 of primary education, male (%)","","Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G2","Primary","Repetition rate in Grade 2 of primary education, both sexes (%)","","Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G2.F","Primary","Repetition rate in Grade 2 of primary education, female (%)","","Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G2.M","Primary","Repetition rate in Grade 2 of primary education, male (%)","","Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G3","Primary","Repetition rate in Grade 3 of primary education, both sexes (%)","","Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G3.F","Primary","Repetition rate in Grade 3 of primary education, female (%)","","Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G3.M","Primary","Repetition rate in Grade 3 of primary education, male (%)","","Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G4","Primary","Repetition rate in Grade 4 of primary education, both sexes (%)","","Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G4.F","Primary","Repetition rate in Grade 4 of primary education, female (%)","","Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G4.M","Primary","Repetition rate in Grade 4 of primary education, male (%)","","Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G5","Primary","Repetition rate in Grade 5 of primary education, both sexes (%)","","Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G5.F","Primary","Repetition rate in Grade 5 of primary education, female (%)","","Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G5.M","Primary","Repetition rate in Grade 5 of primary education, male (%)","","Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G6","Primary","Repetition rate in Grade 6 of primary education, both sexes (%)","","Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G6.F","Primary","Repetition rate in Grade 6 of primary education, female (%)","","Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G6.M","Primary","Repetition rate in Grade 6 of primary education, male (%)","","Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G7","Primary","Repetition rate in Grade 7 of primary education, both sexes (%)","","Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G7.F","Primary","Repetition rate in Grade 7 of primary education, female (%)","","Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.G7.M","Primary","Repetition rate in Grade 7 of primary education, male (%)","","Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.1.M","Primary","Repetition rate in primary education (all grades), male (%)","","Number of male repeaters in primary education in a given school year, expressed as a percentage of male enrolment in primary education in the previous school year. Divide the number of male repeaters in primary education in school year t+1 by the number of male pupils from the same cohort enrolled in primary education in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV","Secondary","Repetition rate in lower secondary general education (all grades), both sexes (%)","","Number of repeaters in lower secondary education in a given school year, expressed as a percentage of enrolment in lower secondary education in the previous school year. Divide the number of repeaters in lower secondary education in school year t+1 by the number of pupils from the same cohort enrolled in lower secondary education in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.F","Secondary","Repetition rate in lower secondary general education (all grades), female (%)","","Number of female repeaters in lower secondary education in a given school year, expressed as a percentage of female enrolment in lower secondary education in the previous school year. Divide the number of female repeaters in lower secondary education in school year t+1 by the number of female pupils from the same cohort enrolled in lower secondary education in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.G1","Secondary","Repetition rate in Grade 1 of lower secondary general education, both sexes (%)","","Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.G1.F","Secondary","Repetition rate in Grade 1 of lower secondary general education, female (%)","","Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.G1.M","Secondary","Repetition rate in Grade 1 of lower secondary general education, male (%)","","Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.G2","Secondary","Repetition rate in Grade 2 of lower secondary general education, both sexes (%)","","Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.G2.F","Secondary","Repetition rate in Grade 2 of lower secondary general education, female (%)","","Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.G2.M","Secondary","Repetition rate in Grade 2 of lower secondary general education, male (%)","","Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.G3","Secondary","Repetition rate in Grade 3 of lower secondary general education, both sexes (%)","","Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.G3.F","Secondary","Repetition rate in Grade 3 of lower secondary general education, female (%)","","Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.G3.M","Secondary","Repetition rate in Grade 3 of lower secondary general education, male (%)","","Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.G4","Secondary","Repetition rate in Grade 4 of lower secondary general education, both sexes (%)","","Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.G4.F","Secondary","Repetition rate in Grade 4 of lower secondary general education, female (%)","","Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.G4.M","Secondary","Repetition rate in Grade 4 of lower secondary general education, male (%)","","Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.G5","Secondary","Repetition rate in Grade 5 of lower secondary general education, both sexes (%)","","Number of repeaters in a given grade in a given school year, expressed as a percentage of enrolment in that grade the previous school year. Divide the number of repeaters in a given grade in school year t+1 by the number of pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.G5.F","Secondary","Repetition rate in Grade 5 of lower secondary general education, female (%)","","Number of female repeaters in a given grade in a given school year, expressed as a percentage of female enrolment in that grade the previous school year. Divide the number of female repeaters in a given grade in school year t+1 by the number of female pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.G5.M","Secondary","Repetition rate in Grade 5 of lower secondary general education, male (%)","","Number of male repeaters in a given grade in a given school year, expressed as a percentage of male enrolment in that grade the previous school year. Divide the number of male repeaters in a given grade in school year t+1 by the number of male pupils from the same cohort enrolled in the same grade in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.REPR.2.GPV.M","Secondary","Repetition rate in lower secondary general education (all grades), male (%)","","Number of male repeaters in lower secondary education in a given school year, expressed as a percentage of male enrolment in lower secondary education in the previous school year. Divide the number of male repeaters in lower secondary education in school year t+1 by the number of male pupils from the same cohort enrolled in lower secondary education in the previous school year t.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFSPPT.1","Primary","Rate of out-of-school children of primary school age in pre-primary education, both sexes (%)","","Number of children of official primary school age who are enrolled in pre-primary education, expressed as a percentage of the population of official primary school age.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFSPPT.1.F","Primary","Rate of out-of-school children of primary school age in pre-primary education, female (%)","","Number of female children of official primary school age who are enrolled in pre-primary education, expressed as a percentage of the female population of official primary school age.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFSPPT.1.M","Primary","Rate of out-of-school children of primary school age in pre-primary education, male (%)","","Number of male children of official primary school age who are enrolled in pre-primary education, expressed as a percentage of the male population of official primary school age.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.1","Primary","Rate of out-of-school children of primary school age, both sexes (%)","","Number of children of official primary school age who are not enrolled in primary or secondary school, expressed as a percentage of the population of official primary school age. Children enrolled in pre-primary education are excluded and considered out of school.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.1.F","Primary","Rate of out-of-school children of primary school age, female (%)","","Number of females of official primary school age who are not enrolled in primary or secondary school, expressed as a percentage of the female population of official primary school age. Children enrolled in pre-primary education are excluded and considered out of school.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.1.M","Primary","Rate of out-of-school children of primary school age, male (%)","","Number of males of official primary school age who are not enrolled in primary or secondary school, expressed as a percentage of the male population of official primary school age. Children enrolled in pre-primary education are excluded and considered out of school.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.2","Secondary","Rate of out-of-school adolescents of lower secondary school age, both sexes (%)","","Number of adolescents of official lower secondary school age who are not enrolled in lower secondary school expressed as a percentage of the population of official lower secondary school age.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.2.F","Secondary","Rate of out-of-school adolescents of lower secondary school age, female (%)","","Number of females of official lower secondary school age who are not enrolled in lower secondary school expressed as a percentage of the female population of official lower secondary school age.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.2.M","Secondary","Rate of out-of-school adolescents of lower secondary school age, male (%)","","Number of males of official lower secondary school age who are not enrolled in lower secondary school expressed as a percentage of the male population of official lower secondary school age.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.3.CP","Secondary","Rate of out-of-school youth of upper secondary school age, both sexes (%)","","Number of youth of official upper secondary school age who are not enrolled in upper secondary school expressed as a percentage of the population of official upper secondary school age.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.3.F.CP","Secondary","Rate of out-of-school youth of upper secondary school age, female (%)","","Number of females of official upper secondary school age who are not enrolled in upper secondary school expressed as a percentage of the female population of official upper secondary school age.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.3.M.CP","Secondary","Rate of out-of-school youth of upper secondary school age, male (%)","","Number of males of official upper secondary school age who are not enrolled in upper secondary school expressed as a percentage of the male population of official upper secondary school age.","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.H.1","Education Equality","UIS: Rate of out-of-school children of primary school age, both sexes (household survey data) (%)","","Number of children of official primary school age who did not attend primary or secondary school at any time during the reference academic year, expressed as a percentage of the number of official primary school age children in the household survey sample. Children attending pre-primary or non-formal education are considered out of school. The UNESCO Institute for Statistics (UIS) releases estimates of out-of-school children calculated from both administrative and household survey sources (Demographic and Health Surveys and Multiple Indicator Cluster Surveys). Administrative records and household surveys are two data sources which differ in fundamental ways: who collects the data, as well as how, when and for what purpose. As a result, the out-of school children estimates calculated from one data source may not match those based on other data sources. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.H.1.F","Education Equality","UIS: Rate of out-of-school children of primary school age, female (household survey data) (%)","","Number of children of official primary school age who did not attend primary or secondary school at any time during the reference academic year, expressed as a percentage of the number of official primary school age children in the household survey sample. Children attending pre-primary or non-formal education are considered out of school. The UNESCO Institute for Statistics (UIS) releases estimates of out-of-school children calculated from both administrative and household survey sources (Demographic and Health Surveys and Multiple Indicator Cluster Surveys). Administrative records and household surveys are two data sources which differ in fundamental ways: who collects the data, as well as how, when and for what purpose. As a result, the out-of school children estimates calculated from one data source may not match those based on other data sources. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.H.1.M","Education Equality","UIS: Rate of out-of-school children of primary school age, male (household survey data) (%)","","Number of children of official primary school age who did not attend primary or secondary school at any time during the reference academic year, expressed as a percentage of the number of official primary school age children in the household survey sample. Children attending pre-primary or non-formal education are considered out of school. The UNESCO Institute for Statistics (UIS) releases estimates of out-of-school children calculated from both administrative and household survey sources (Demographic and Health Surveys and Multiple Indicator Cluster Surveys). Administrative records and household surveys are two data sources which differ in fundamental ways: who collects the data, as well as how, when and for what purpose. As a result, the out-of school children estimates calculated from one data source may not match those based on other data sources. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.H.1.Q1","Education Equality","UIS: Rate of out-of-school children of primary school age, poorest quintile, both sexes (household survey data) (%)","Number of children of official primary school age who did not attend primary or secondary school at any time during the reference academic year, expressed as a percentage of the number of official primary school age children in the household survey sample. Children attending pre-primary or non-formal education are considered out of school. The UNESCO Institute for Statistics (UIS) releases estimates of out-of-school children calculated from both administrative and household survey sources (Demographic and Health Surveys and Multiple Indicator Cluster Surveys). Administrative records and household surveys are two data sources which differ in fundamental ways: who collects the data, as well as how, when and for what purpose. As a result, the out-of school children estimates calculated from one data source may not match those based on other data sources. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","Number of children of official primary school age who did not attend primary or secondary school at any time during the reference academic year, expressed as a percentage of the number of official primary school age children in the household survey sample. Children attending pre-primary or non-formal education are considered out of school. The UNESCO Institute for Statistics (UIS) releases estimates of out-of-school children calculated from both administrative and household survey sources (Demographic and Health Surveys and Multiple Indicator Cluster Surveys). Administrative records and household surveys are two data sources which differ in fundamental ways: who collects the data, as well as how, when and for what purpose. As a result, the out-of school children estimates calculated from one data source may not match those based on other data sources. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.H.1.Q1.F","Education Equality","UIS: Rate of out-of-school children of primary school age, poorest quintile, female (household survey data) (%)","Number of children of official primary school age who did not attend primary or secondary school at any time during the reference academic year, expressed as a percentage of the number of official primary school age children in the household survey sample. Children attending pre-primary or non-formal education are considered out of school. The UNESCO Institute for Statistics (UIS) releases estimates of out-of-school children calculated from both administrative and household survey sources (Demographic and Health Surveys and Multiple Indicator Cluster Surveys). Administrative records and household surveys are two data sources which differ in fundamental ways: who collects the data, as well as how, when and for what purpose. As a result, the out-of school children estimates calculated from one data source may not match those based on other data sources. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","Number of children of official primary school age who did not attend primary or secondary school at any time during the reference academic year, expressed as a percentage of the number of official primary school age children in the household survey sample. Children attending pre-primary or non-formal education are considered out of school. The UNESCO Institute for Statistics (UIS) releases estimates of out-of-school children calculated from both administrative and household survey sources (Demographic and Health Surveys and Multiple Indicator Cluster Surveys). Administrative records and household surveys are two data sources which differ in fundamental ways: who collects the data, as well as how, when and for what purpose. As a result, the out-of school children estimates calculated from one data source may not match those based on other data sources. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.H.1.Q1.M","Education Equality","UIS: Rate of out-of-school children of primary school age, poorest quintile, male (household survey data) (%)","Number of children of official primary school age who did not attend primary or secondary school at any time during the reference academic year, expressed as a percentage of the number of official primary school age children in the household survey sample. Children attending pre-primary or non-formal education are considered out of school. The UNESCO Institute for Statistics (UIS) releases estimates of out-of-school children calculated from both administrative and household survey sources (Demographic and Health Surveys and Multiple Indicator Cluster Surveys). Administrative records and household surveys are two data sources which differ in fundamental ways: who collects the data, as well as how, when and for what purpose. As a result, the out-of school children estimates calculated from one data source may not match those based on other data sources. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","Number of children of official primary school age who did not attend primary or secondary school at any time during the reference academic year, expressed as a percentage of the number of official primary school age children in the household survey sample. Children attending pre-primary or non-formal education are considered out of school. The UNESCO Institute for Statistics (UIS) releases estimates of out-of-school children calculated from both administrative and household survey sources (Demographic and Health Surveys and Multiple Indicator Cluster Surveys). Administrative records and household surveys are two data sources which differ in fundamental ways: who collects the data, as well as how, when and for what purpose. As a result, the out-of school children estimates calculated from one data source may not match those based on other data sources. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.H.1.Q2","Education Equality","UIS: Rate of out-of-school children of primary school age, second quintile, both sexes (household survey data) (%)","Number of children of official primary school age who did not attend primary or secondary school at any time during the reference academic year, expressed as a percentage of the number of official primary school age children in the household survey sample. Children attending pre-primary or non-formal education are considered out of school. The UNESCO Institute for Statistics (UIS) releases estimates of out-of-school children calculated from both administrative and household survey sources (Demographic and Health Surveys and Multiple Indicator Cluster Surveys). Administrative records and household surveys are two data sources which differ in fundamental ways: who collects the data, as well as how, when and for what purpose. As a result, the out-of school children estimates calculated from one data source may not match those based on other data sources. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","Number of children of official primary school age who did not attend primary or secondary school at any time during the reference academic year, expressed as a percentage of the number of official primary school age children in the household survey sample. Children attending pre-primary or non-formal education are considered out of school. The UNESCO Institute for Statistics (UIS) releases estimates of out-of-school children calculated from both administrative and household survey sources (Demographic and Health Surveys and Multiple Indicator Cluster Surveys). Administrative records and household surveys are two data sources which differ in fundamental ways: who collects the data, as well as how, when and for what purpose. As a result, the out-of school children estimates calculated from one data source may not match those based on other data sources. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
"UIS.ROFST.H.1.Q2.F","Education Equality","UIS: Rate of out-of-school children of primary school age, second quintile, female (household survey data) (%)","Number of children of official primary school age who did not attend primary or secondary school at any time during the reference academic year, expressed as a percentage of the number of official primary school age children in the household survey sample. Children attending pre-primary or non-formal education are considered out of school. The UNESCO Institute for Statistics (UIS) releases estimates of out-of-school children calculated from both administrative and household survey sources (Demographic and Health Surveys and Multiple Indicator Cluster Surveys). Administrative records and household surveys are two data sources which differ in fundamental ways: who collects the data, as well as how, when and for what purpose. As a result, the out-of school children estimates calculated from one data source may not match those based on other data sources. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","Number of children of official primary school age who did not attend primary or secondary school at any time during the reference academic year, expressed as a percentage of the number of official primary school age children in the household survey sample. Children attending pre-primary or non-formal education are considered out of school. The UNESCO Institute for Statistics (UIS) releases estimates of out-of-school children calculated from both administrative and household survey sources (Demographic and Health Surveys and Multiple Indicator Cluster Surveys). Administrative records and household surveys are two data sources which differ in fundamental ways: who collects the data, as well as how, when and for what purpose. As a result, the out-of school children estimates calculated from one data source may not match those based on other data sources. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","","","","","","","","","UNESCO Institute for Statistics","","","","","","",
